Nombre;Apellidos;Género;Carné;Correo;Notas;Estado
Fernando;Rojas Solano;Femenino;2023038532;frojas8532@estudiantec.cr;(57, 56, 87, 66.87, 66.87);Reposición
Gabriela;Solano Gómez;Masculino;2020058731;gsolano8731@estudiantec.cr;(21, 2, 8, 10.31, 10.31);Reprobado
José;Ramírez Martínez;Masculino;2022014210;jramirez4210@estudiantec.cr;(48, 93, 48, 62.85, 62.85);Reposición
Fernando;Solano Flores;Femenino;2024062589;fsolano2589@estudiantec.cr;(82, 88, 23, 63.92, 63.92);Reposición
Pedro;Pérez Chaves;Masculino;2023010587;pperez0587@estudiantec.cr;(100, 77, 66, 80.85, 80.85);Aprovado
Elena;Morales Rojas;Masculino;2025061571;emorales1571@estudiantec.cr;(27, 4, 54, 28.59, 28.59);Reprobado
Daniel;Martínez Torres;Femenino;2020054223;dmartinez4223@estudiantec.cr;(87, 46, 62, 64.97, 64.97);Reposición
Sofía;Morales Rodríguez;Femenino;2023039627;smorales9627@estudiantec.cr;(15, 100, 38, 50.87, 50.87);Reprobado
Ana;Vargas Sánchez;Femenino;2022035665;avargas5665@estudiantec.cr;(56, 21, 74, 50.57, 50.57);Reprobado
Pedro;Navarro Martínez;Masculino;2021016572;pnavarro6572@estudiantec.cr;(38, 36, 12, 28.5, 28.5);Reprobado
Paula;Flores Martínez;Masculino;2023045202;pflores5202@estudiantec.cr;(68, 57, 97, 74.23, 74.23);Aprovado
José;Ramírez Acosta;Masculino;2024066224;jramirez6224@estudiantec.cr;(34, 56, 88, 59.62, 59.62);Reprobado
Paula;Flores Martínez;Masculino;2020061362;pflores1362@estudiantec.cr;(63, 15, 72, 50.22, 50.22);Reprobado
Laura;Ramírez Torres;Masculino;2024059147;lramirez9147@estudiantec.cr;(58, 7, 56, 40.49, 40.49);Reprobado
Lucía;Chaves Castro;Femenino;2022023329;lchaves3329@estudiantec.cr;(60, 91, 35, 61.73, 61.73);Reposición
María;Sánchez Rojas;Masculino;2023066832;msanchez6832@estudiantec.cr;(79, 93, 84, 85.32, 85.32);Aprovado
Fernando;Vargas González;Femenino;2025022814;fvargas2814@estudiantec.cr;(45, 3, 23, 23.66, 23.66);Reprobado
Lucía;Gómez Morales;Masculino;2023065434;lgomez5434@estudiantec.cr;(21, 9, 28, 19.42, 19.42);Reprobado
Elena;Ramírez Navarro;Femenino;2022025046;eramirez5046@estudiantec.cr;(46, 75, 14, 44.69, 44.69);Reprobado
Valeria;Díaz Ramírez;Masculino;2024024339;vdiaz4339@estudiantec.cr;(86, 60, 25, 56.68, 56.68);Reprobado
Sofía;Sánchez Morales;Masculino;2024068955;ssanchez8955@estudiantec.cr;(4, 87, 8, 32.75, 32.75);Reprobado
Sebastian;Cespedes Alvarado;Masculino;2020021236;sebasces@estudiantec.cr;(30, 30, 30, 30.0, 30.0);Reprobado
